name,app_price,play_price,total_app_price,avg_app_rating,app_genre,play_genre,app_trader_purchase_price,avg_app_rating_rounded,expected_app_lifespan_years
"FandangoNOW - Movies + TV - anytime, anywhere",0,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
"FanDuel - Daily Fantasy Baseball, Golf & Sports",0,NULL,NULL,NULL,Sports,NULL,"$10,000.00 ",NULL,1
Fantastic Beasts™: Cases,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fantastical 2 for iPad - Calendar and Reminders,9.99,NULL,NULL,NULL,Productivity,NULL,"$10,000.00 ",NULL,1
Fantastical 2 for iPhone - Calendar and Reminders,4.99,NULL,NULL,NULL,Productivity,NULL,"$10,000.00 ",NULL,1
Fantasy Football Coach,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fantasy Football Manager - FFM for FPL,0.99,NULL,NULL,NULL,Sports,NULL,"$10,000.00 ",NULL,1
Fantasy Forest Story: Land Before Dragons,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fantasy Princess - Girls Makeup & Dress Up Games,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Farm Heroes Saga,0,$0.00 ,$0.00 ,4.45,Games,Casual,"$10,000.00 ",4.5,10
"Farm Heroes Super Saga: Match, Collect and Grow!",0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Farm Story 2™,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Farming PRO 2015,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Farming PRO 2016,4.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Farming Simulator 14,0,$0.00 ,$0.00 ,4.25,Games,Simulation;Action & Adventure,"$10,000.00 ",4.5,10
Farming USA,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Farming USA 2,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FarmVille: Tropic Escape - Harvest in Paradise,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fast Food Rampage,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fast Motorcycle Driver,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FastEver 2 - Quick memo app for Evernote,3.99,NULL,NULL,NULL,Productivity,NULL,"$10,000.00 ",NULL,1
Fatal,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FATAL FURY SPECIAL,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fax from iPhone - send fax app,3.99,NULL,NULL,NULL,Business,NULL,"$10,000.00 ",NULL,1
FaZes - Run & Jump,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fear for Sale: City of the Past HD - A Hidden Object Mystery (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fear for Sale: Endless Voyage HD - A Mystery Hidden Object Game (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fear For Sale: Nightmare Cinema - A Mystery Hidden Object Game (Full),2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fear For Sale: Nightmare Cinema HD - A Mystery Hidden Object Game (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fear For Sale: Phantom Tide HD - A Scary Hidden Object Mystery (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fear For Sale: The 13 Keys HD - A Scary Hidden Object Mystery (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fear for Sale: The House on Black River (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fear the Walking Dead: Dead Run–Tactical Runner,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
feather for Twitter,2.99,NULL,NULL,NULL,Social Networking,NULL,"$10,000.00 ",NULL,1
Feed Me Oil 2,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Feed the Head,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Feed’em Burger,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FeedNews: AI curated social news for productivity,0,NULL,NULL,NULL,News,NULL,"$10,000.00 ",NULL,1
Feelca B&W,0.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Felt: Birthday & Greeting Cards & Thank You Card,0,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
FEMA,0,NULL,NULL,NULL,Weather,NULL,"$10,000.00 ",NULL,1
Fernanfloo,0,$0.00 ,$0.00 ,4.65,Games,Arcade,"$10,000.00 ",4.5,10
Fetty Wap: Nitro Nation Stories,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FFmoji 2016 - Your Fantasy Football Emoji Keyboard,0,NULL,NULL,NULL,Sports,NULL,"$10,000.00 ",NULL,1
Fieldrunners,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fieldrunners 2,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fieldrunners Attack!,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fieldrunners for iPad,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fiesta by Tango - Chat & Meet New People,0,NULL,NULL,NULL,Social Networking,NULL,"$10,000.00 ",NULL,1
Fiete Math - for 1st grade and preschool,0.99,NULL,NULL,NULL,Education,NULL,"$10,000.00 ",NULL,1
Fiete Sports,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FIFA Mobile Soccer,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fight List,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fighter Verses - memorize bible verses,2.99,NULL,NULL,NULL,Reference,NULL,"$10,000.00 ",NULL,1
Figure Skater - Girls Makeup & Dressup Salon Game,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
File Manager Pro App,4.99,NULL,NULL,NULL,Business,NULL,"$10,000.00 ",NULL,1
File New - Photo Editor,0.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
FileBrowser - Access files on remote computers,5.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
"FileExplorer Pro - File Manager for Computer, NAS",4.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Files HD Pro - File Manager & Web Browser,4.99,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Fill - one-line puzzle game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FiLMiC Pro,14.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
FilmStory - For All Your Video Editing Needs,0,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
FilmStory Pro - For All Your Video Editing Needs,3.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Filterra – Photo Editor,3.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
"Filterra – Photo Editor, Effects for Pictures",0,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Filters for iPhone and iPad,1.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Final Cut: Fade To Black - A Mystery Hidden Object Game (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Final Cut: Fame Fatale - A Hidden Object Adventure (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Final Cut: The True Escapade HD - A Hidden Object Mystery Game (Full),6.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY,7.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY Ⅸ,20.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY BRAVE EXVIUS,0,$0.00 ,$0.00 ,4.55,Games,Role Playing,"$10,000.00 ",4.5,10
FINAL FANTASY II,7.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY III,14.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY III for iPad,16.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY IV,14.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY TACTICS: THE WAR OF THE LIONS,13.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY TACTICS: THE WAR OF THE LIONS for iPad,15.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY VI,14.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FINAL FANTASY VII,15.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Final Guitar - absolute guitar app,0.99,NULL,NULL,NULL,Music,NULL,"$10,000.00 ",NULL,1
Final Kick VR - Virtual Reality free soccer game for Google Cardboard,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Find–the–Line,2.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
"Find My Family, Friends & iPhone - Life360 Locator",0,NULL,NULL,NULL,Social Networking,NULL,"$10,000.00 ",NULL,1
Find my Fitbit - Finder app for lost fitbits,5.99,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Finding Dory: Just Keep Swimming,3.99,NULL,NULL,NULL,Entertainment,NULL,"$10,000.00 ",NULL,1
Finding Nemo Storybook Deluxe,2.99,NULL,NULL,NULL,Book,NULL,"$10,000.00 ",NULL,1
FineScanner Pro - PDF Document Scanner App + OCR,59.99,NULL,NULL,NULL,Business,NULL,"$10,000.00 ",NULL,1
Finger Hero: Avoid Obstacles,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fingerprint Login: PassKey Password & Apps Lock,0,NULL,NULL,NULL,Productivity,NULL,"$10,000.00 ",NULL,1
Fingle,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fire and Fury: English Civil War,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fire Fu,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fireboy & Watergirl 2 - The Forest Temple,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fireboy and Watergirl: Online in the Forest Temple - Multiplayer Running and Adventure Game,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
FireChat,0,NULL,NULL,NULL,Social Networking,NULL,"$10,000.00 ",NULL,1
Fired Up,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Firefox Focus: The privacy browser,0,$0.00 ,$0.00 ,4.2,Utilities,Communication,"$10,000.00 ",4,9
Firefox web browser,0,NULL,NULL,NULL,Utilities,NULL,"$10,000.00 ",NULL,1
Fireman Sam - Fire & Rescue,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
First Grade Learning Games (School Edition),3.99,NULL,NULL,NULL,Education,NULL,"$10,000.00 ",NULL,1
First Strike 1.3,3.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
First Words Animals,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
First Words Deluxe,4.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
First Year Demons,1.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fish Fist,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fish Mania™,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fish Out Of Water!,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fish Tycoon,0.99,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fishdom,0,$0.00 ,$0.00 ,4.55,Games,Puzzle,"$10,000.00 ",4.5,10
Fisheye Lens - Retro Style Fisheye Camera,1.99,NULL,NULL,NULL,Photo & Video,NULL,"$10,000.00 ",NULL,1
Fishing Break,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fishing Kings Free+,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fist of Fury,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
Fit Brains Trainer,0,NULL,NULL,NULL,Education,NULL,"$10,000.00 ",NULL,1
Fit Girls Guide,0,NULL,NULL,NULL,Health & Fitness,NULL,"$10,000.00 ",NULL,1
Fit In The Hole,0,NULL,NULL,NULL,Games,NULL,"$10,000.00 ",NULL,1
